Title,Description,Genres1
"Dear Leader: Poet, Spy, Escapee - A Look Inside North Korea","In this rare insider's view into contemporary North Korea, a high-ranking counterintelligence agent describes his life as a former poet laureate to Kim Jong-il and his breathtaking escape to freedom.""The General will now enter the room.""Everyone turns to stone. Not moving my head, I direct my eyes to a point halfway up the archway where Kim Jong-il's face will soon appear.As North Korea's State Poet Laureate, Jang Jin-sung led a charmed life. With food provisions (even as the country suffered through its great famine), a travel pass, access to strictly censored information, and audiences with Kim Jong-il himself, his life in Pyongyang seemed safe and secure. But this privileged existence was about to be shattered. When a strictly forbidden magazine he lent to a friend goes missing, Jang Jin-sung must flee for his life.Never before has a member of the elite described the inner workings of this totalitarian state and its propaganda machine. An astonishing expose told through the heart-stopping story of Jang Jin-sung's escape to South Korea, Dear Leader is a rare and unprecedented insight into the world's most secretive and repressive regime.",Nonfiction
"Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1)","When Dorothy triumphed over the Wicked Witch of the West in L. Frank Baum's classic tale we heard only her side of the story. But what about her arch-nemesis, the mysterious Witch? Where did she come from? How did she become so wicked? And what is the true nature of evil?Gregory Maguire creates a fantasy world so rich and vivid that we will never look at Oz the same way again. Wicked is about a land where animals talk and strive to be treated like first-class citizens, Munchkinlanders seek the comfort of middle-class stability, and the Tin Man becomes a victim of domestic violence. And then there is the little green-skinned girl named Elphaba, who will grow up to become the infamous Wicked Witch of the West, a smart, prickly, and misunderstood creature who challenges all our preconceived notions about the nature of good and evil.An astonishingly rich re-creation of the land of Oz, this book retells the story of Elphaba, the Wicked Witch of the West, who wasn't so wicked after all. Taking readers past the yellow brick road and into a phantasmagoric world rich with imagination and allegory, Gregory Maguire just might change the reputation of one of the most sinister characters in literature.",Fantasy
"The Dark Prophecy (The Trials of Apollo, #2)","Go west. Capture Apollo before he can find the next oracle.If you cannot bring him to me alive, kill him.
Those were the orders my old enemy Nero had given to Meg McCaffrey. But why would an ancient Roman emperor zero in on Indianapolis? And now that I have made it here (still in the embarrassing form of Lester Papadopoulos), where is Meg?Meg, my demigod master, is a cantankerous street urchin. She betrayed me to Nero back at Camp Half-Blood. And while I'm mortal, she can order me to do anything . . . even kill myself. Despite all this, if I have a chance of prying her away from her villainous stepfather, I have to try.But I'm new at this heroic-quest business, and my father, Zeus, stripped me of all my godly powers. Oh, the indignities and pain I have already suffered! Untold humiliation, impossible time limits, life-threatening danger . . . Shouldn't there be a reward at the end of each completed task? Not just more deadly quests?I vow that if I ever regain my godhood, I will never again send a poor mortal on a quest. Unless it is really important. And unless I am sure the mortal can handle it. And unless I am pressed for time . . . or I really just don't feel like doing it myself. I will be much kinder and more generous than everyone is being to meÃ¢â¬âespecially that sorceress Calypso. What does Leo see in her, anyway?",Fantasy
"Chloe's Purpose (Jack's Reign, #2)","Cracks have appeared in JackÃ¢â¬â¢s faith in God. Carter dies from wasting disease, David is still an alcoholic and separated from his wife and child, and Chloe vanishes. When Jack finds out that his daughter went with David to visit the Nackama tribe, he follows, intending to bring her home. Chloe wants to speak to the shaman of the Nackama tribe so that she can contact her dead twin. Along the way, her bond with her Godfather deepens, and it becomes clear that if David doesnÃ¢â¬â¢t stop drinking, this will be the last time he ever sees his wife and son. Jack has known for years that if David canÃ¢â¬â¢t stop, heÃ¢â¬â¢ll either drink himself to death or end his own life, unable to bear the crushing anxiety and the loss of his family. Trouble brews among the tribes and the citizens of Gredoria. Camaday is drawn into the conflict, bringing Jack, Chloe, and David face-to-face with Crown Prince Leon Stark. Jack doesnÃ¢â¬â¢t want innocent lives lost, David doesnÃ¢â¬â¢t want to lose his only chance to get his family back, and Chloe finds she has many purposes to fulfill despite being a thirteen-year-old girl.ÃÂ  Will the strong bond Chloe has with her Father and Godfather be enough? Can it bring a man back from the brink, help another fill the cracks in his faith, and give a little girl the strength to do what's needed? The Lion of Gredoria always gets what he wants.",Fantasy
Saturday,"Saturday, February 15, 2003. Henry Perowne is a contented man - a successful neurosurgeon, the devoted husband of Rosalind, and proud father of two grown-up children. Unusually, he wakes before dawn, drawn to the window of his bedroom and filled with a growing unease. As he looks out at the night sky, he is troubled by the state of the world - the impending war against Iraq, a gathering pessimism since 9/11, and a fear that his city and his happy family life are under threat.Later, as Perowne makes his way through London streets filled with hundreds of thousands of anti-war protestors, a minor car accident brings him into a confrontation with Baxter, a fidgety, aggressive young man, on the edge of violence. To Perowne's professional eye, there appears to be something profoundly wrong with him. But it is not until Baxter makes a sudden appearance as the Perowne family gathers for a reunion, that Henry's fears seem about to be realised.",Fiction
Tiny Beautiful Things: Advice on Love and Life from Dear Sugar,"Life can be hard: your lover cheats on you; you lose a family member; you canÃ¢â¬â¢t pay the bills - and it can be great: you've had the hottest sex of your life; you get that plum job; you muster the courage to write your novel. Sugar - the once-anonymous online columnist at The Rumpus, now revealed as Cheryl Strayed, author of the bestselling memoir Wild - is the person thousands turn to for advice. Tiny Beautiful Things brings the best of Dear Sugar in one place and includes never-before-published columns and a new introduction by Steve Almond. ÃÂ Rich with humor, insight, compassion - and absolute honesty - this book is a balm for everything life throws our way.",Nonfiction
"The Fionavar Tapestry (The Fionavar Tapestry, #1-3)","Celebrated worldwide as a fantasy classic since the release of The Summer Tree (Book I in the series), The Fionavar Tapestry has conjured up sales of more than 100,000 in Canada, and has been translated into 12 languages. No Canadian work in the field of fantasy fiction has ever come close to achieving the international impact of The Fionavar Tapestry. Now available in a single volume, this new edition of the celebrated trilogy is sure to create new worlds of Guy Gavriel Kay fans.",Fantasy
The Night Circus,"The circus arrives without warning. No announcements precede it. It is simply there, when yesterday it was not. Within the black-and-white striped canvas tents is an utterly unique experience full of breathtaking amazements. It is called Le Cirque des RÃÂªves, and it is only open at night. But behind the scenes, a fierce competition is underwayÃ¢â¬âa duel between two young magicians, Celia and Marco, who have been trained since childhood expressly for this purpose by their mercurial instructors. Unbeknownst to them, this is a game in which only one can be left standing, and the circus is but the stage for a remarkable battle of imagination and will. Despite themselves, however, Celia and Marco tumble headfirst into loveÃ¢â¬âa deep, magical love that makes the lights flicker and the room grow warm whenever they so much as brush hands. True love or not, the game must play out, and the fates of everyone involved, from the cast of extraordinary circus performers to the patrons, hang in the balance, suspended as precariously as the daring acrobats overhead. Written in rich, seductive prose, this spell-casting novel is a feast for the senses and the heart.",Fantasy
"The Sapphire Eruption (The Sword's Choice, #1)","Once a year, the skies burn red. Upon this day, the Fire KingdomÃ¢â¬â¢s priests perform their ritual: each newbornÃ¢â¬â¢s palm is lacerated, opened with a sacred sword, for FiriaÃ¢â¬â¢s next ruler will be seen to shed no blood. Alas, this can prove a perilous process. When young Nokhail demonstrates his destiny, a wicked imposter attempts to slay the boy. Soldier Lumio intervenes, escaping with defenseless NoakhailÃ¢â¬âset for distant Aquadom to hide . . . and gather strength.Seventeen years later, Lumio illuminates NoakhailÃ¢â¬â¢s true identity, presenting Distra, his rightful sword. Training side by side, the pair devise a plan to reclaim the throne . . . but this will mean ousting a crooked king, whose warriors are everywhere. Should Noakhail hope to triumph, heÃ¢â¬â¢ll be forced to look inside himself and tame explosive power on the expedition homeward bound. His path will cut through all four kingdomsÃ¢â¬âeach replete with danger but, in turn, a chance to grow.Meanwhile, in AquadomÃ¢â¬â¢s royal palace, the water sword has chosen its heir, but envy stands to jeopardize an age of fragile peace. Indeed, a war awaits...",Fantasy
"Abhorsen (Abhorsen, #3)","The Ninth was strong and fought with might But lone Orannis was put out of the light Broken in two and buried under hillForever to lie there, wishing us ill.So says the song. But Orannis, the Destroyer, is no longer buried under hill. It has been freed from its subterranean prison and now seeks to escape the silver hemispheres, the final barrier to the unleashing of its terrible powers.Only Lirael, newly come into her inheritance as the Abhorsen-in-Waiting, has any chance of stopping the Destroyer. She and her companions -- Sam, the Disreputable Dog, and Mogget -- have to take that chance. For the Destroyer is the enemy of all Life, and it must be stopped, though Lirael does not know how.To make matters worse, Sam's best friend, Nick, is helping the Destroyer, as are the necromancer Hedge and the Greater Dead Chlorr, and there has been no word from the Abhorsen Sabriel or King Touchstone.Everything depends upon Lirael. A heavy, perhaps even impossible burden for a young woman who just days ago was merely a Second Assistant Librarian. With only a vision from the Clayr to guide her, and the rather mixed help of her companions, Lirael must search in both Life and Death for some means to defeat the Destroyer.Before it is too late. . . .",Fantasy
"The Glass Books of the Dream Eaters (Miss Temple, Doctor Svenson, and Cardinal Chang, #1)","It began with a simple note: a letter of rejection from Miss TempleÃ¢â¬â¢s fiancÃÂ©, written on crisp Ministry paper and delivered on her maidÃ¢â¬â¢s silver tray. But for Miss Temple, Roger BascombeÃ¢â¬â¢s cruel rejection will ignite a harrowing quest for answers, plunging her into a mystery as dizzying as a hall of mirrorsÃ¢â¬âand a remote estate where danger abounds and all inhibitions are stripped bare.Nothing could have prepared Miss Temple for where her pursuit of Roger Bascombe would take herÃ¢â¬âor for the shocking things she would find behind the closed doors of forbidding Harschmort Manor: men and women in provocative disguise, acts of licentiousness and violence, heroism and awakening. But she will also find two allies: Cardinal Chang, a brutal assassin with the heart of a poet, and a royal doctor named Svenson, at once fumbling and heroicÃ¢â¬âboth of whom, like her, lost someone at Harschmort Manor. As the unlikely trio search for answersÃ¢â¬âhurtling them from elegant brothels to gaslit alleyways to shocking moments of self-discovery-- they are confronted by puzzles within puzzles. And the closer they get to the truth, the more their lives are in danger. For the conspiracy they faceÃ¢â¬âan astonishing alchemy of science, perverted religion, and lust for powerÃ¢â¬âis so terrifying as to be beyond belief.",Fantasy
Coming Storm,"In a long forgotten time a terrible war raged, entire countries were razed and even magic itself was decimated. According to myth the only survivors were Immortals, powerful sorcerers who achieved life everlasting. With the fall of the old world they scattered to the wild frontiers, or so the tale goes. Time marches on however and with magic barely an echo of its former self, technology presses on. The rising nation of The Syndicate is at the forefront making breakthrough after breakthrough in a handful of years. Establishing bases in the far flung frontier regions they have started a new endeavour of research into the ancient world, heedless of cost or consequence. As The Syndicate pushes deeper into the wilderness spurred on by ambition, mysterious deaths follow. Is this just the dangers of the wild, the resistance of the local tribes, or something else awoken by this intrusion?",Fiction
Geek Love,"Geek Love is the story of the Binewskis, a carny family whose mater- and paterfamilias set out Ã¢â¬â¢ with the help of amphetamine, arsenic, and radioisotopes Ã¢â¬â¢ to breed their own exhibit of human oddities. There's Arturo the Aquaboy, who has flippers for limbs and a megalomaniac ambition worthy of Genghis Khan . . . Iphy and Elly, the lissome Siamese twins . . . albino hunchback Oly, and the outwardly normal Chick, whose mysterious gifts make him the family's most precious Ã¢â¬â¢ and dangerous Ã¢â¬â¢ asset.As the Binewskis take their act across the backwaters of the U.S., inspiring fanatical devotion and murderous revulsion; as its members conduct their own Machiavellian version of sibling rivalry, Geek Love throws its sulfurous light on our notions of the freakish and the normal, the beautiful and the ugly, the holy and the obscene. Family values will never be the same.",Fiction
Twelve Years a Slave,"Twelve Years a Slave, sub-title: Narrative of Solomon Northup, citizen of New-York, kidnapped in Washington city in 1841, and rescued in 1853, from a cotton plantation near the Red River in Louisiana, is a memoir by Solomon Northup as told to and edited by David Wilson. It is a slave narrative of a black man who was born free in New York state but kidnapped in Washington, D.C., sold into slavery, and kept in bondage for 12 years in Louisiana. He provided details of slave markets in Washington, D.C. and New Orleans, as well as describing at length cotton and sugar cultivation on major plantations in Louisiana.",Nonfiction
Arrangement in Black and White,"She's white; he's black. But their conflicts are more than racial. Margy's from Iowa, an artist, the product of an abusive mother and neglectful father. Everet's from Connecticut, a civil rights lawyer on the rise toward greater recognition, and their lives take a tense turn when he decides to run for political office just as Margy moves forward in her own career. Arrangement in Black and White captures the conflicts that give edge and interest to all meaningful love stories, yet it does so with an eye toward modern women, interracial politics, and the human inability to balance passion with social, public life. It is a powerful story for contemporary readers.",Fiction
"Year One (Chronicles of The One, #1)","It began on New Year's Eve.The sickness came on suddenly, and spread quickly. The fear spread even faster. Within weeks, everything people counted on began to fail them. The electrical grid sputtered; law and government collapsed--and more than half of the world's population was decimated.Where there had been order, there was now chaos. And as the power of science and technology receded, magic rose up in its place. Some of it is good, like the witchcraft worked by Lana Bingham, practicing in the loft apartment she shares with her lover, Max. Some of it is unimaginably evil, and it can lurk anywhere, around a corner, in fetid tunnels beneath the river--or in the ones you know and love the most.As word spreads that neither the immune nor the gifted are safe from the authorities who patrol the ravaged streets, and with nothing left to count on but each other, Lana and Max make their way out of a wrecked New York City. At the same time, other travelers are heading west too, into a new frontier. Chuck, a tech genius trying to hack his way through a world gone offline. Arlys, a journalist who has lost her audience but uses pen and paper to record the truth. Fred, her young colleague, possessed of burgeoning abilities and an optimism that seems out of place in this bleak landscape. And Rachel and Jonah, a resourceful doctor and a paramedic who fend off despair with their determination to keep a young mother and three infants in their care alive.In a world of survivors where every stranger encountered could be either a savage or a savior, none of them knows exactly where they are heading, or why. But a purpose awaits them that will shape their lives and the lives of all those who remain.The end has come. The beginning comes next.",Fantasy
Lemon Girl,"*Included in ezvid.com wiki list of 9 Well-Written Novels That Put Women Front Center*'It's all your fault.'Mere words these are.""But words can possess a shadow invincible enough to rob even a soul of its eternity.""In a society that finds it easier to mark sins of a victim than the culprit, Nirvi is a young girl punishing herself for the faults she did not do and avenging her hurts by defeating her own truth.She is scared of her future, and ashamed of her past. She is failing herself, and knows it. She has had a long line of boyfriends, and hated them all. She detests the guy she is living with, runs away from the one she loves , and seduces the one who can never love her.When Arsh first sees Nirvi, she's a free and frank girl in whose eyes sparkle the lemony zest of life. The next time he sees her, she is a voiceless doll draped in clothes that cover her body less and shroud her soul more. And Arsh can't rest till he finds out what made Nirvi give up her own real self.Nirvi knows she is dragging herself on a path from which there can be no recovery. Can her spirit survive the treacherous downfall? Or is the pull of fear and push of desperation just too strong to withstand for a girl who believes she has ""nowhere else to go"" but down.""When it's time for you to fall in love, even a lemon can become the cause of it,"" says Arsh.But can love survive, when even the self love dies?Can love survive when respect is no more?Does true love have the power to revive a dying soul?Find out in the pages of this brilliantly woven, intense, heart-warming and thought-provoking saga of RISING IN LOVE...",Fiction
"The Amulet of Samarkand (Bartimaeus, #1)","Nathaniel is a boy magician-in-training, sold to the government by his birth parents at the age of five and sent to live as an apprentice to a master. Powerful magicians rule Britain, and its empire, and Nathaniel is told his is the ""ultimate sacrifice"" for a ""noble destiny."" If leaving his parents and erasing his past life isn't tough enough, Nathaniel's master, Arthur Underwood, is a cold, condescending, and cruel middle-ranking magician in the Ministry of Internal Affairs. The boy's only saving grace is the master's wife, Martha Underwood, who shows him genuine affection that he rewards with fierce devotion. Nathaniel gets along tolerably well over the years in the Underwood household until the summer before his eleventh birthday. Everything changes when he is publicly humiliated by the ruthless magician Simon Lovelace and betrayed by his cowardly master who does not defend him.Nathaniel vows revenge. In a Faustian fever, he devours magical texts and hones his magic skills, all the while trying to appear subservient to his master. When he musters the strength to summon the 5,000-year-old djinni Bartimaeus to avenge Lovelace by stealing the powerful Amulet of Samarkand, the boy magician plunges into a situation more dangerous and deadly than anything he could ever imagine.",Fantasy
Eat and Run: My Unlikely Journey to Ultramarathon Greatness,"For nearly two decades, Scott Jurek has been a dominant forceÃ¢â¬âand darlingÃ¢â¬âin the grueling and growing sport of ultrarunning. Until recently he held the American 24-hour record and he was one of the elite runners profiled in the runaway bestseller Born to Run.In Eat and Run, Jurek opens up about his life and career as a champion athlete with a plant-based diet and inspires runners at every level. From his Midwestern childhood hunting, fishing, and cooking for his meat-and-potatoes family to his slow transition to ultrarunning and veganism, ScottÃ¢â¬â¢s story shows the power of an iron will and blows apart the stereotypes of what athletes should eat to fuel optimal performance. Full of stories of competition as well as science and practical adviceÃ¢â¬âincluding his own recipesÃ¢â¬âEat and Run will motivate readers and expand their food horizons.",Nonfiction
Sentinels: Book 1 Part 1 of The One True Child Series,"The world is still new and the war between Order and Chaos is reaching its breaking point. But Order has a plan. The One True Child is born to two of OrderÃ¢â¬â¢s Sentinels and hidden in the secret valley which guards the way to the most sacred of spots, the standing stones. Brought up by the Guardian of the Stones and her family, Carling does not know who she is and why she was born. Until she turns thirteen. The truth is revealed and she comes into her abilities which are beyond the normal for one of The People. And her story begins, setting her on the path to meet Chaos.",Fantasy
"The Golden Compass (His Dark Materials, #1)","Lyra is rushing to the cold, far North, where witch clans and armored bears rule. North, where the Gobblers take the children they steal--including her friend Roger. North, where her fearsome uncle Asriel is trying to build a bridge to a parallel world.Can one small girl make a difference in such great and terrible endeavors? This is Lyra: a savage, a schemer, a liar, and as fierce and true a champion as Roger or Asriel could want--but what Lyra doesn't know is that to help one of them will be to betray the other.",Fantasy
"Goodbye, Things: The New Japanese Minimalism","The best-selling phenomenon from Japan that shows us a minimalist life is a happy life.Fumio Sasaki is not an enlightened minimalism expert or organizing guru like Marie KondoÃ¢â¬âheÃ¢â¬â¢s just a regular guy who was stressed out and constantly comparing himself to others, until one day he decided to change his life by saying goodbye to everything he didnÃ¢â¬â¢t absolutely need. The effects were remarkable: Sasaki gained true freedom, new focus, and a real sense of gratitude for everything around him. In Goodbye, Things Sasaki modestly shares his personal minimalist experience, offering specific tips on the minimizing process and revealing how the new minimalist movement can not only transform your space but truly enrich your life. The benefits of a minimalist life can be realized by anyone, and SasakiÃ¢â¬â¢s humble vision of true happiness will open your eyes to minimalismÃ¢â¬â¢s potential.",Nonfiction
"Mighty Be Our Powers: How Sisterhood, Prayer, and Sex Changed a Nation at War","In a time of death and terror, Leymah Gbowee brought Liberia's women together--and together they led a nation to peace. As a young woman, Gbowee was broken by the Liberian civil war, a brutal conflict that tore apart her life and claimed the lives of countless relatives and friends. As a young mother trapped in a nightmare of domestic abuse, she found the courage to turn her bitterness into action, propelled by her realization that it is women who suffer most during conflicts--and that the power of women working together can create an unstoppable force. In 2003, the passionate and charismatic Gbowee helped organize and then led the Liberian Mass Action for Peace, a coalition of Christian and Muslim women who sat in public protest, confronting Liberia's ruthless president and rebel warlords, and even held a sex strike. With an army of women, Gbowee helped lead her nation to peace.--From publisher description.",Nonfiction
House of Sand and Fog,"In this Ã¢â¬Åpage-turner with a beating heartÃ¢â¬Â (Boston Globe), a recovering alcoholic and addict down on her luck struggles to hold on to her home in California. But this becomes contested territory when a recent immigrant from the Middle EastÃ¢â¬âa former colonel in the Iranian Air ForceÃ¢â¬âbecomes determined to restore his familyÃ¢â¬â¢s dignity through buying the house. When the womanÃ¢â¬â¢s lover, a married cop, intervenes, he goes to extremes to win her love. Andre Dubus IIIÃ¢â¬â¢s unforgettable charactersÃ¢â¬âpeople with ordinary flaws, looking for a small piece of ground to stand onÃ¢â¬âcareen toward inevitable conflict. An Ã¢â¬Åaffecting, subtle portrait of two hostile but equally fragile campsÃ¢â¬Â (The New Yorker), their tragedy paints a shockingly true picture of the country we still live in today, two decades after this bookÃ¢â¬â¢s first publication.",Fiction
"Princess of the Midnight Ball (The Princesses of Westfalin Trilogy, #1)","A tale of twelve princesses doomed to dance until dawnÃ¢â¬Â¦
Galen is a young soldier returning from war; Rose is one of twelve princesses condemned to dance each night for the King Under Stone. Together Galen and Rose will search for a way to break the curse that forces the princesses to dance at the midnight balls. All they need is one invisibility cloak, a black wool chain knit with enchanted silver needles, and that most critical ingredient of allÃ¢â¬âtrue loveÃ¢â¬âto conquer their foes in the dark halls below. But malevolent forces are working against them above ground as well, and as cruel as the King Under Stone has seemed, his wrath is mere irritation compared to the evil that awaits Galen and Rose in the brighter world above. Captivating from start to finish, Jessica Day GeorgeÃ¢â¬â¢s take on the GrimmsÃ¢â¬â¢ tale The Twelve Dancing Princesses demonstrates yet again her mastery at spinning something entirely fresh out of a story you thought you knew.",Fantasy
"Ancient Truth (Line of Blood Saga, #1)","Ancient Truth is the first book of the Line of Blood Saga.It is an alternative vision of History based on the theories about an alien colonization of Earth even before the apparition of the Homo sapiens.In it, actual History, myths, religious tales and even urban legends are mixed together with the fantasy of the author to create a new and original story.Modern characters alternate with ancient ones seamless, to better guide the reader into something that is bound to be unique.Aside the original conquerors of Earth, the mythological deities called Anunnaki, other alien species take their place in forging the path of early man.Together with aliens various kind of monsters and mythological beings, are also present in the story. Naturally, the different parts of it take place in legendary locations and cities, with a large use of mythological artifacts and books.Moreover, many names, especially of the ancient characters, recall those of important figures of mythology, religion or actual history.Of course, mostly these characters are totally new, living situations and behaving even very differently from the real, or mythological, ones.Line of Blood Saga, and Ancient Truth as well, is in the end a work of fantasy, in which more than the actual stories, the only Ã¢â¬ÅtrueÃ¢â¬Â thing is the introspection on the human soul, with all the interior struggling a man has, forced by the choice between good and evil.",Fantasy
Honor and Polygamy,"This story has been passionately written to point out the shortfalls, misunderstandings, and missteps of the US government in Afghanistan. The US involvement in Afghanistan is compared to a forbidden marriage, revealing the ultimate failure of implementing US policies in both Afghanistan and the entire Middle East. In general, the American public believes democracy is a gift that was showered on the country, without considering what kinds of sacri?ces have been made over the past 300 years to achieve democracy. However, democracy is not a gift that can be transferred, exported, and force-fed to other nations. Nor is it a strategic business plan that one can hastily globalize. It is a process that has to be accepted with deep understanding.",Fiction
"Siege and Storm (The Shadow and Bone Trilogy, #2)","Ã¢âÂ¶ 
Alternative Cover Edition #1
Darkness never dies.Hunted across the True Sea, haunted by the lives she took on the Fold, Alina must try to make a life with Mal in an unfamiliar land, all while keeping her identity as the Sun Summoner a secret. But she canÃ¢â¬â¢t outrun her past or her destiny for long.The Darkling has emerged from the Shadow Fold with a terrifying new power and a dangerous plan that will test the very boundaries of the natural world. With the help of a notorious privateer, Alina returns to the country she abandoned, determined to fight the forces gathering against Ravka. But as her power grows, Alina slips deeper into the DarklingÃ¢â¬â¢s game of forbidden magic, and farther away from Mal. Somehow, she will have to choose between her country, her power, and the love she always thought would guide herÃ¢â¬âor risk losing everything to the oncoming storm.",Fantasy
Everything is Illuminated,"With only a yellowing photograph in hand, a young man -- also named Jonathan Safran Foer -- sets out to find the woman who may or may not have saved his grandfather from the Nazis. Accompanied by an old man haunted by memories of the war; an amorous dog named Sammy Davis, Junior, Junior; and the unforgettable Alex, a young Ukrainian translator who speaks in a sublimely butchered English, Jonathan is led on a quixotic journey over a devastated landscape and into an unexpected past.",Fiction
Grunt: The Curious Science of Humans at War,"A New York Times / National Bestseller""America's funniest science writer"" ( Washington Post ) Mary Roach explores the science of keeping human beings intact, awake, sane, uninfected, and uninfested in the bizarre and extreme circumstances of war. Grunt tackles the science behind some of a soldier's most challenging adversariesÃ¢â¬â¢panic, exhaustion, heat, noiseÃ¢â¬â¢and introduces us to the scientists who seek to conquer them. Mary Roach dodges hostile fire with the U.S. Marine Corps Paintball Team as part of a study on hearing loss and survivability in combat. She visits the fashion design studio of U.S. Army Natick Labs and learns why a zipper is a problem for a sniper. She visits a repurposed movie studio where amputee actors help prepare Marine Corps medics for the shock and gore of combat wounds. At Camp Lemmonier, Djibouti, in east Africa, we learn how diarrhea can be a threat to national security. Roach samples caffeinated meat, sniffs an archival sample of a World War II stink bomb, and stays up all night with the crew tending the missiles on the nuclear submarine USS Tennessee. She answers questions not found in any other book on the military: Why is DARPA interested in ducks? How is a wedding gown like a bomb suit? Why are shrimp more dangerous to sailors than sharks? Take a tour of duty with Roach, and youÃ¢â¬â¢ll never see our nationÃ¢â¬â¢s defenders in the same way again. 15 illustrations",Nonfiction
"Always Outnumbered, Always Outgunned","In this cycle of 14 bittersweet stories, Walter Mosley breaks out of the genre--if not the setting--of his bestselling Easy Rawlins detective novels. Only eight years after serving out a prison sentence for murder, Socrates Fortlow lives in a tiny, two-room Watts apartment, where he cooks on a hot plate, scavenges for bottles, drinks and wrestles with his demons. Struggling to control a seemingly boundless rage--as well as the power of his massive ""rock-breaking"" hands--Socrates must find a way to live an honourable life as a black man on the margins of a white world, a task which takes every ounce of self-control he has.  Easy Rawlins fans might initially find themselves disappointed by the absence of a mystery to unravel. But it's a gripping inner drama that unfolds over the pages of these stories, as Socrates comes to grips with the chaos, poverty and violence around him. He tries to get and keep a job delivering groceries; takes in a young street kid named Darryl, who has his own murder to hide; and helps drive out the neighbourhood crack dealer. Throughout, Mosley captures the rhythms of Watts life in prose both lyrical and hard-edged, resulting in a haunting look at a life bounded by lust, violence, fear and a ruthlessly unsentimental moral vision.",Fiction
"The Thief (The Queen's Thief, #1)","The kingÃ¢â¬â¢s scholar, the magus, believes he knows the site of an ancient treasure. To attain it for his king, he needs a skillful thief, and he selects Gen from the kingÃ¢â¬â¢s prison. The magus is interested only in the thiefÃ¢â¬â¢s abilities. What Gen is interested in is anyoneÃ¢â¬â¢s guess. Their journey toward the treasure is both dangerous and difficult, lightened only imperceptibly by the tales they tell of the old gods and goddesses.Megan Whalen Turner weaves GenÃ¢â¬â¢s stories and GenÃ¢â¬â¢s story together with style and verve in a novel that is filled with intrigue, adventure, and surprise.",Fantasy
"Spells (Wings, #2)","""I can't just storm in and proclaim my intentions. I can't 'steal' you away. I just have to wait and hope that, someday, you'll ask,"" Tamani said.""And if I don't?"" Laurel said, her voice barely above a whisper.""Then I guess I'll be waiting forever.""Although Laurel has come to accept her true identity as a faerie, she refuses to turn her back on her human life - and especially her boyfriend, David - to return to the faerie world.But when she is summoned to Avalon, Laurel's feelings for the charismatic faerie sentry Tamani are undeniable. She is forced to make a choice - a choice that could break her heart.",Fantasy
Barack Obama: A Detailed Response to Benghazi,"* A landmark political masterpiece on par with All The Presidents Men and The Starr Report.*In a little over 100 pages this book exposes the incompetency and cover up of the terrorist attack in Benghazi by the Barack Obama administration.*Fiercely Frank and insightful this book also includes just as it's title implies, the most detailed response from Barack Obama on the Benghazi terrorist attack that took place on 9/11/12!*That's right between the pages of this shocking political exposÃÂ© readers will find over 100 blank pages. Lets be honest there has been no response from the Obama administration in regards to the Benghazi terrorist attack.*This masterful book concludes by urging the American people to force the Obama administration to fill in the blank pages of this book with answers regarding the attack on 9/11/12.*This is a gag gift with a purpose! Republicans and Democrats alike will be moved by this small book of subversion!Editorial ReviewsAuthor - Margaret Hayek""This is such a good book that the authors will no doubt have their own dedicated wing in the new NSA database center in Utah"" -Author Margaret Hayek, Why is There a Drone with an IRS Tax Bill at My Front Door?21st Century Muckraker Blog - Bennett Falwell""The shocking truth revealed in this book is so powerful that it may just make Mitt Romney and Candy Crowley hug one another.""Author - Milton Atwater""This is way better than the Starr Report!"" -Author Milton Atwater, How to Make Capitalism Work in a Socialist World.The Daily Press - Chuck Liddy""Woodward and Bernstein wish they could have brought out the truth like in this revealing political masterpiece.""Obamacare Death Panelist - Olga Andropov""Good Book...maybe too good.""",Nonfiction
Presumed Guilty: The Tragedy of the Rodney King Affair,"For the first time, the entire story of the Rodney King affair is told in full detail - what happened and why, and the reasons the Simi Valley, California jury found the officers innocent on charges of using excessive force against a felony evader with a lengthening record of violent conduct. Sgt. Stacey C. Koon was the officer in charge on the night of March 3, 1991 when Rodney King led police on a 7.8 mile chase at speeds of more than 100 miles per hour. After stopping, King refused commands to submit to arrest and made threatening gestures toward the officers whose duty was to keep King from hurting himself, his two passengers, and other motorists. When LAPD officers physically tried to subdue him, he tossed four of them off his back. Then he absorbed two 50,000 volt stun-gun charges. All this happened before the now-infamous George Holliday videotape began. The first two seconds of the videotape - a part that most people have never seen - show King trying to assault another police officer. Yet for most Americans, that 82-second videotape - which was repeatedly edited to delete the portions showing Rodney King's violent behavior - is all they know about the events of March 3, 1991. It is a tragedy that resulted in the Los Angeles riots that left more than 50 people dead and some $800 million in property destroyed. Presumed Guilty is the truth. Not what was shown from an edited 82-second videotape and not what was reported each day by a media that consciously ignored certain facts and reported other facts to mold the public mind toward a verdict of guilt. Sgt. Koon's account of the night of March 3, 1991 and the days leading up to and including the trial tells about how four dedicatedpolice officers were betrayed by the superiors they served. It also tells how the leaders of the Los Angeles Police Department and the city establishment have scurried to cover their own culpability in creating the policies that made the Rodney King affair an inevitable tragedy.",Nonfiction
